San Pedro Atacama ,1/12/2018,https://photos.app.goo.gl/ue2i1BqkvfLpoEwP8
La Rochelle ,25/11/2018,https://photos.app.goo.gl/rnArYUcepB1DDtPTA
Angoulême ,22/11/2018,https://photos.app.goo.gl/teni5DgYQ9UhuFKT7
Ile Maurice,17/11/2018,https://photos.app.goo.gl/GJnQi3RZWdxD5deT6
Dubai,16/11/2018,https://photos.app.goo.gl/L1dxHJfeW3v4mgSp7
Jarnac,10/11/2018,https://photos.app.goo.gl/kMzdLR5QG4ATkKze9
World Tour ,2/12/2018,https://photos.app.goo.gl/TELYgXdHEeUAfhvE6
Lausanne ,28/10/2018,https://photos.app.goo.gl/swqA4swaqbW1QVEp9
Ibiza,25/10/2018,https://photos.app.goo.gl/jjwDkgQ4KPut2Rwi8
Roc Azur,15/10/2018,https://photos.app.goo.gl/3sAbyDVDjVxWJWDq8
Jarnac,7/10/2018,https://photos.app.goo.gl/ZSwFzcbuh6sKdYdi7
Biscarrosse,23/9/2018,https://photos.app.goo.gl/DaDZgD8ZhALD33f78
Royan ,15/9/2018,https://photos.app.goo.gl/AKCx9hTSpwY4Uqph9
Baudreix,15/9/2018,https://photos.app.goo.gl/cVUiMcayEi7N5NuG6
Saint Jean de Luz,8/9/2018,https://photos.app.goo.gl/aPM9hEryC1EPnFqd6
Saint Pardoux ,8/9/2018,https://photos.app.goo.gl/WvHRP87Mur1Sh6Xt7
Vichy ,26/8/2018,https://photos.app.goo.gl/DydsrSAscXEtfJa78
Cognac,26/8/2018,https://photos.app.goo.gl/fJcZb7NuYtkEzrq18
Passy Mont Blanc,25/8/2018,https://photos.app.goo.gl/G7kmHLiHVDwok28TA
ThorXTri ,18/8/2018,https://photos.app.goo.gl/vf5UzNXpmUynNMoP9
Embrun,15/8/2018,https://photos.app.goo.gl/ghQGER37YPrXuS619
TriathBreizh ,22/7/2018,https://photos.app.goo.gl/YyTaudwDjCvdzrwv5
Gray ,22/7/2018,https://photos.app.goo.gl/HKB6XFe61d94GdZE8
Montendre ,16/7/2018,https://photos.app.goo.gl/thu3t5oA6esKYaw79
Fyn ,12/7/2018,https://photos.app.goo.gl/9Do9F7kSUETXiVyT9
Etape Tour ,8/7/2018,https://photos.app.goo.gl/XQMoFc5S9LBiLCjK8
Saint Martin Ardêche ,7/7/2018,https://photos.app.goo.gl/vPwvoQf6Mi3tS2FB8
Guérêt ,1/7/2018,https://photos.app.goo.gl/GGUuHbT5nHB8hA6z5
Nice ,24/6/2018,https://photos.app.goo.gl/db4p5vdvUESr9Y4g6
Côte Vermeille ,23/6/2018,https://photos.app.goo.gl/byHei22Sfk6Q8og9A
Saintes,17/6/2018,https://photos.app.goo.gl/KjdRD14zKGau66JJA
Cadarsac ,10/6/2018,https://photos.app.goo.gl/GrPuqLDTMULJcdYH9
Vassivière ,8/6/2018,https://photos.app.goo.gl/J1LhyRg4oGvApsgu5
Ventoux ,3/6/2018,https://photos.app.goo.gl/r51kcETZe1TiQ5Sg7
Frenchman/frenchwoman ,26/5/2018,https://photos.app.goo.gl/9K8S1KZUyEBKu9jX7
Lacanau ,13/5/2018,https://photos.app.goo.gl/UWPKYr5iDEgF5VYJ8
Perigueux ,25/2/2018,https://photos.app.goo.gl/Uh3H2QcJU6aeeeIf1
La Rochelle,27/11/2017,https://photos.app.goo.gl/GpP2u8kvC3JagZc03
Jarnac,11/11/2017,https://photos.app.goo.gl/Vdlq4nNkcDPTXza43
Cannes ,5/11/2017,https://photos.app.goo.gl/pBD8JGWuDa8L5I2q1
Dublin,28/10/2017,https://photos.app.goo.gl/O8T1pOzQrfqMgqUt1
Royan,14/10/2017,https://photos.app.goo.gl/jinm2HeGdofb2s3c2
Salles sur Verdon,8/10/2017,https://photos.app.goo.gl/zoMhi8oId9W69cD43
Saint Yrieix,8/10/2017,https://fr-fr.facebook.com/LaurineRaud24/
Narbonne,1/10/2017,https://photos.app.goo.gl/Em70o6uyPljV1nZm1
Rimouski,1/10/2017,https://photos.app.goo.gl/Lg3rwoiIkjVxZNpW2
